id,gp,x,y,var,model
1,1,-68.9,-15.3,hurs,RegCM4_MPI-M-MPI-ESM-MR
2,1,-79.3,-0.7,hurs,RegCM4_NCC-NorESM1-M
3,1,-57.7,0.3,hurs,RegCM4_MOHC-HadGEM2-ES
4,1,-56.9,-4.3,hurs,RegCM4_MOHC-HadGEM2-ES
5,1,-75.1,-14.7,hurs,RegCM4_MPI-M-MPI-ESM-MR
6,1,-59.7,1.1,hurs,RegCM4_MOHC-HadGEM2-ES
7,1,-67.1,-25.7,hurs,RegCM4_NCC-NorESM1-M
8,1,-67.1,-23.5,hurs,RegCM4_MOHC-HadGEM2-ES
9,1,-58.5,-1.1,hurs,RegCM4_MOHC-HadGEM2-ES
10,1,-73.1,5.3,hurs,RegCM4_NCC-NorESM1-M
11,1,-78.7,-2.9,hurs,RegCM4_MPI-M-MPI-ESM-MR
12,1,-57.5,1.3,hurs,RegCM4_MOHC-HadGEM2-ES
13,1,-70.1,-22.1,hurs,RegCM4_MPI-M-MPI-ESM-MR
14,1,-73.3,-13.3,hurs,RegCM4_MPI-M-MPI-ESM-MR
15,1,-75.5,4.3,hurs,RegCM4_NCC-NorESM1-M
16,1,-75.9,4.1,hurs,RegCM4_MPI-M-MPI-ESM-MR
17,2,-64.1,-3.5,hurs,RegCM4_NCC-NorESM1-M
18,2,-66.1,-20.3,hurs,REMO2015_MOHC-HadGEM2-ES
19,2,-63.1,2.7,hurs,REMO2015_NCC-NorESM1-M
20,2,-71.1,9.1,hurs,RegCM4_NCC-NorESM1-M
21,2,-62.1,-7.5,hurs,REMO2015_MPI-M-MPI-ESM-LR
22,2,-68.1,-22.1,hurs,REMO2015_MOHC-HadGEM2-ES
23,2,-78.3,-2.7,hurs,REMO2015_MPI-M-MPI-ESM-LR
24,2,-69.9,-22.7,hurs,REMO2015_MPI-M-MPI-ESM-LR
25,2,-66.3,-9.9,hurs,REMO2015_MOHC-HadGEM2-ES
26,2,-67.5,-25.5,hurs,REMO2015_MOHC-HadGEM2-ES
27,2,-65.9,-20.3,hurs,RegCM4_MOHC-HadGEM2-ES
28,2,-56.9,-9.3,hurs,REMO2015_MPI-M-MPI-ESM-LR
29,2,-43.5,-8.9,hurs,RegCM4_MPI-M-MPI-ESM-MR
30,2,-61.9,-8.5,hurs,REMO2015_MPI-M-MPI-ESM-LR
31,2,-72.1,-15.1,hurs,REMO2015_NCC-NorESM1-M
32,2,-72.5,-13.7,hurs,REMO2015_MPI-M-MPI-ESM-LR
33,3,-68.9,-14.7,hurs,RegCM4_NCC-NorESM1-M
34,3,-73.7,-15.9,hurs,RegCM4_NCC-NorESM1-M
35,3,-73.7,-13.5,hurs,RegCM4_NCC-NorESM1-M
36,3,-79.5,-1.7,hurs,RegCM4_NCC-NorESM1-M
37,3,-69.9,-14.5,hurs,RegCM4_MPI-M-MPI-ESM-MR
38,3,-72.5,6.5,hurs,RegCM4_MPI-M-MPI-ESM-MR
39,3,-70.1,-14.3,hurs,RegCM4_NCC-NorESM1-M
40,3,-70.5,-14.7,hurs,RegCM4_NCC-NorESM1-M
41,3,-70.3,-14.9,hurs,RegCM4_NCC-NorESM1-M
42,3,-69.3,-16.1,hurs,RegCM4_NCC-NorESM1-M
43,3,-69.1,-15.5,hurs,RegCM4_MPI-M-MPI-ESM-MR
44,3,-76.5,2.1,hurs,RegCM4_MPI-M-MPI-ESM-MR
45,3,-70.3,-14.7,hurs,RegCM4_MPI-M-MPI-ESM-MR
46,3,-73.3,-13.5,hurs,RegCM4_MPI-M-MPI-ESM-MR
47,3,-75.3,4.9,hurs,RegCM4_MPI-M-MPI-ESM-MR
48,3,-69.5,-15.1,hurs,RegCM4_NCC-NorESM1-M
49,4,-62.9,1.7,hurs,REMO2015_MPI-M-MPI-ESM-LR
50,4,-64.9,4.7,hurs,REMO2015_MOHC-HadGEM2-ES
51,4,-66.5,-9.3,hurs,RegCM4_NCC-NorESM1-M
52,4,-66.7,2.9,hurs,REMO2015_MOHC-HadGEM2-ES
53,4,-44.9,-1.9,hurs,RegCM4_MOHC-HadGEM2-ES
54,4,-73.5,4.7,hurs,RegCM4_NCC-NorESM1-M
55,4,-65.3,-6.7,hurs,RegCM4_MPI-M-MPI-ESM-MR
56,4,-58.3,-6.7,hurs,REMO2015_MOHC-HadGEM2-ES
57,4,-66.3,-29.5,hurs,REMO2015_MOHC-HadGEM2-ES
58,4,-63.1,-6.7,hurs,RegCM4_MPI-M-MPI-ESM-MR
59,4,-58.5,-26.9,hurs,RegCM4_NCC-NorESM1-M
