"","x","y"
"1",-61.4,15.4
"2",-87.6,14
"3",-87.4,14
"4",-87,13.4
"5",-86.8,13.4
"6",-85,11.2
"7",-74,11.2
"8",-74,11
"9",-73.8,11
"10",-85.2,10.8
"11",-85,10.8
"12",-84.8,10.8
"13",-74,10.8
"14",-73.8,10.8
"15",-73.4,10.8
"16",-71.4,10.8
"17",-84.8,10.6
"18",-73.8,10.6
"19",-73.6,10.6
"20",-73.4,10.6
"21",-73.2,10.6
"22",-84.8,10.4
"23",-73.2,10.4
"24",-73,10.4
"25",-72.8,10.4
"26",-67.2,10.4
"27",-84.6,10.2
"28",-73.2,10.2
"29",-73,10.2
"30",-66.8,10.2
"31",-66.4,10.2
"32",-66.2,10.2
"33",-64.4,10.2
"34",-64.2,10.2
"35",-63.2,10.2
"36",-84.2,10
"37",-84,10
"38",-73.2,10
"39",-73,10
"40",-66.2,10
"41",-64.2,10
"42",-84.2,9.8
"43",-84,9.8
"44",-83.8,9.8
"45",-70.2,9.8
"46",-84,9.6
"47",-83.8,9.6
"48",-83.2,9.4
"49",-83,9.4
"50",-70.2,9.4
"51",-83.2,9.2
"52",-83,9.2
"53",-82.8,9.2
"54",-82.6,9.2
"55",-71.2,9.2
"56",-71,9.2
"57",-70.4,9.2
"58",-70,9.2
"59",-83,9
"60",-82.8,9
"61",-82.6,9
"62",-71.2,9
"63",-71,9
"64",-70.8,9
"65",-70.6,9
"66",-83.6,8.8
"67",-83,8.8
"68",-82.8,8.8
"69",-82.6,8.8
"70",-82.4,8.8
"71",-81.8,8.8
"72",-81.6,8.8
"73",-71.2,8.8
"74",-71,8.8
"75",-70.8,8.8
"76",-83.6,8.6
"77",-83.4,8.6
"78",-81.8,8.6
"79",-73.2,8.6
"80",-71,8.6
"81",-70.6,8.6
"82",-70.4,8.6
"83",-73.2,8.4
"84",-70.4,8.4
"85",-72.4,8.2
"86",-72.2,8.2
"87",-72,8.2
"88",-71.8,8.2
"89",-71.6,8.2
"90",-74.4,8
"91",-73.2,8
"92",-72.2,8
"93",-72,8
"94",-71.8,8
"95",-71.6,8
"96",-70.8,8
"97",-78,7.8
"98",-73.2,7.8
"99",-73,7.8
"100",-72.2,7.8
"101",-72,7.8
"102",-78,7.6
"103",-74.4,7.6
"104",-73.2,7.6
"105",-73,7.6
"106",-71.8,7.6
"107",-73,7.4
"108",-72.8,7.4
"109",-72,7.4
"110",-71.8,7.4
"111",-76.4,7.2
"112",-76.2,7.2
"113",-76,7.2
"114",-73,7.2
"115",-72.8,7.2
"116",-71.4,7.2
"117",-76.2,7
"118",-73,7
"119",-72.8,7
"120",-72.6,7
"121",-67,7
"122",-77,6.8
"123",-75.6,6.8
"124",-75.4,6.8
"125",-72.8,6.8
"126",-72.6,6.8
"127",-72.4,6.8
"128",-72.2,6.8
"129",-71.4,6.8
"130",-66.4,6.8
"131",-65.6,6.8
"132",-76.4,6.6
"133",-76.2,6.6
"134",-76,6.6
"135",-75.4,6.6
"136",-74.4,6.6
"137",-73.4,6.6
"138",-73,6.6
"139",-72.6,6.6
"140",-72.4,6.6
"141",-72.2,6.6
"142",-71.8,6.6
"143",-71.4,6.6
"144",-66.4,6.6
"145",-65.8,6.6
"146",-76.4,6.4
"147",-76.2,6.4
"148",-76,6.4
"149",-75.4,6.4
"150",-73.6,6.4
"151",-73.4,6.4
"152",-72.8,6.4
"153",-72.4,6.4
"154",-72.2,6.4
"155",-72,6.4
"156",-71.8,6.4
"157",-71.6,6.4
"158",-76.6,6.2
"159",-76.2,6.2
"160",-76,6.2
"161",-75.8,6.2
"162",-75.4,6.2
"163",-74.2,6.2
"164",-73,6.2
"165",-72.4,6.2
"166",-72.2,6.2
"167",-76.6,6
"168",-76.2,6
"169",-75.8,6
"170",-75.4,6
"171",-74.2,6
"172",-73,6
"173",-72.8,6
"174",-72.6,6
"175",-72.4,6
"176",-76.6,5.8
"177",-76,5.8
"178",-74.2,5.8
"179",-73.8,5.8
"180",-73,5.8
"181",-66.8,5.8
"182",-66.6,5.8
"183",-66.4,5.8
"184",-66.2,5.8
"185",-66,5.8
"186",-63.8,5.8
"187",-76.6,5.6
"188",-76.4,5.6
"189",-76,5.6
"190",-73.8,5.6
"191",-73.4,5.6
"192",-73.2,5.6
"193",-73,5.6
"194",-66.2,5.6
"195",-66,5.6
"196",-65.4,5.6
"197",-77.4,5.4
"198",-76,5.4
"199",-75.4,5.4
"200",-75.2,5.4
